0	15.34	9.52	10.62	21.53	8.02	10.77	42.33	39.36	19.81	13.43	53.13	57.65	27.74	13.74	44.66	49.71	
1	46.09	16.92	2.53	12.33	27.28	16.90	30.47	23.58	19.81	14.05	52.40	57.44	46.91	15.19	25.62	20.18	
2	78.72	20.00	8.43	17.13	29.44	20.34	41.36	35.06	94.53	20.30	53.72	57.95	24.27	19.05	56.15	53.44	
3	13.18	16.51	4.33	12.41	7.91	16.97	31.98	22.88	15.95	17.97	52.76	57.36	25.11	18.25	69.87	74.61	
4	11.34	23.62	6.92	6.94	8.32	23.62	29.38	22.71	54.20	25.98	46.80	49.29	40.70	22.92	20.06	12.73	
5	10.71	23.19	6.29	6.82	7.21	22.65	31.65	24.02	53.08	24.73	23.65	17.61	37.17	20.87	30.51	30.94	
6	11.68	22.19	5.55	7.64	7.43	22.29	27.91	21.86	42.62	21.09	55.94	52.52	41.82	20.51	34.76	34.34	
7	36.06	25.97	32.99	39.96	36.06	25.31	30.82	22.85	36.40	20.46	47.83	50.37	41.91	23.41	78.79	85.01	
8	35.92	22.75	11.27	13.59	17.61	23.28	27.55	17.91	54.35	23.12	54.43	57.62	55.60	25.96	56.59	52.98	
9	219.87	25.06	44.97	54.41	219.87	24.74	24.33	15.36	66.30	24.17	45.10	40.37	58.95	24.30	49.93	47.13	
10	31.00	20.85	21.69	27.25	31.00	21.22	25.74	15.28	61.83	24.87	40.52	35.33	75.21	25.37	68.79	74.90	
11	34.13	20.38	22.22	26.75	34.13	20.49	26.62	17.16	34.06	19.55	70.22	75.64	117.18	23.45	64.66	70.70	
12	95.14	20.83	29.07	37.87	47.76	20.83	63.72	59.21	118.43	20.60	73.38	78.61	22.32	21.24	59.04	51.17	
13	36.42	19.04	23.93	29.28	16.92	19.80	24.86	14.78	116.22	19.83	73.84	79.74	24.42	23.73	63.49	55.93	
14	91.74	20.43	24.52	33.10	44.23	19.94	60.31	55.31	211.32	20.32	69.47	74.71	59.70	22.09	43.58	37.55	
15	89.30	20.50	23.35	32.58	42.01	21.14	57.89	52.54	36.50	14.16	66.54	71.27	23.51	22.15	62.01	54.46	
16	42.19	9.24	12.92	20.61	22.36	9.77	29.88	19.87	118.68	16.83	77.73	84.57	60.73	17.17	64.36	57.86	
17	221.46	22.02	45.03	54.98	22.02	21.38	62.44	51.87	128.41	21.92	86.74	93.48	71.78	21.72	58.98	55.43	
18	43.68	25.42	32.21	39.02	38.01	25.09	42.62	40.23	128.08	31.43	94.72	102.58	102.12	32.45	99.97	102.32	
19	33.97	35.87	57.78	68.73	33.97	36.30	84.04	84.44	42.44	35.99	88.52	91.39	38.29	34.05	56.33	50.40	
20	117.66	44.23	67.02	77.37	73.51	43.76	41.04	37.16	92.18	46.96	86.63	85.72	92.18	46.28	105.47	104.26	
21	47.45	46.07	54.39	57.91	41.61	46.90	38.49	35.35	69.35	50.54	16.59	10.61	21.88	52.26	13.43	17.99	
22	42.25	50.43	60.52	63.17	42.25	50.84	46.44	40.01	55.51	54.93	25.35	26.45	49.00	55.58	91.50	87.87	
23	41.72	52.70	31.03	19.54	10.51	53.52	27.28	24.89	108.58	61.84	92.50	87.67	104.93	62.10	116.84	122.16	
24	56.25	49.89	30.97	21.97	56.25	49.56	50.52	45.76	57.12	53.57	21.80	21.64	54.10	54.70	26.09	32.88	
25	80.92	52.39	62.75	67.46	75.22	53.14	50.54	45.46	61.74	52.77	17.80	18.79	9.12	54.00	21.32	27.63	
26	38.90	56.94	35.19	23.41	38.90	57.44	29.42	27.00	59.06	55.33	20.86	21.91	32.02	59.49	12.50	18.29	
27	45.64	51.88	29.53	18.59	6.58	51.93	28.28	26.47	31.48	54.10	112.61	115.27	12.39	52.69	8.44	14.51	
28	46.33	52.90	31.56	22.85	8.73	52.57	53.22	48.95	33.74	52.33	17.49	17.78	14.08	52.69	10.53	15.74	
29	46.01	49.15	27.36	15.61	6.08	48.76	27.27	24.81	31.58	49.61	22.43	23.50	12.53	49.69	18.97	24.16	
30	127.88	50.32	73.15	83.25	127.88	50.24	53.25	50.76	56.22	47.54	85.28	81.23	44.55	46.50	22.23	26.36	
31	56.95	40.52	18.78	8.98	9.12	40.61	25.35	22.17	55.51	42.08	80.58	76.23	94.43	44.52	103.65	107.04	
32	67.68	27.23	7.33	8.81	18.20	27.23	27.81	23.50	51.32	33.45	8.84	4.59	30.08	29.79	45.64	41.80	
33	49.68	26.66	7.56	7.71	33.59	26.75	40.77	33.17	46.42	28.82	65.11	60.01	25.80	25.94	65.05	59.21	
34	48.58	22.20	2.30	9.38	31.31	22.70	40.48	31.09	27.51	23.17	54.29	61.12	36.01	21.96	47.38	50.82	
35	50.71	12.03	9.15	18.82	31.48	12.09	42.22	31.55	64.27	11.63	51.53	55.35	50.51	10.38	65.92	72.36	
36	88.62	9.87	15.55	26.29	38.91	10.02	48.49	43.53	211.69	10.52	60.25	66.43	54.28	10.15	57.74	59.80	
37	93.65	8.14	20.69	31.12	44.05	8.03	54.65	50.76	71.43	7.02	63.43	68.32	52.56	10.66	44.09	37.67	
38	45.04	14.31	34.24	43.19	36.70	14.21	57.93	46.94	10.97	10.72	76.79	83.93	15.18	10.86	38.27	31.50	
39	32.56	15.53	23.61	31.55	25.71	15.97	43.48	41.65	16.40	14.76	53.21	58.52	32.70	15.39	48.17	41.47	
40	25.55	28.74	49.48	59.54	25.55	28.42	74.36	70.68	21.02	25.62	89.40	94.47	11.47	22.69	68.14	65.94	
41	114.02	33.51	48.90	59.83	67.08	33.80	84.00	81.12	91.24	25.09	50.41	57.70	83.93	26.76	45.34	51.57	
42	114.59	34.01	47.97	58.24	114.59	34.11	84.42	81.72	138.22	34.26	95.64	101.00	133.36	32.76	97.83	104.99	
43	137.60	40.05	52.52	61.76	137.60	39.55	89.57	88.93	48.11	34.97	96.86	102.11	72.01	35.42	100.76	108.41	
44	117.64	40.45	54.28	64.02	71.89	40.37	89.33	86.94	48.34	32.05	13.07	10.88	35.16	35.09	36.01	40.82	
45	44.60	32.45	42.53	46.72	44.60	32.45	37.14	29.86	3.91	33.40	39.28	43.14	31.78	33.37	40.89	47.97	
46	61.48	33.83	38.37	42.79	12.66	34.70	38.71	36.62	41.55	27.03	17.50	13.76	29.09	30.23	29.57	31.49	
47	57.55	38.71	42.59	46.32	10.11	38.62	39.74	37.28	83.19	34.62	58.84	66.52	42.82	36.51	41.39	47.95	
48	42.32	44.62	54.49	60.94	33.63	44.60	41.61	39.05	41.55	37.65	103.36	108.71	10.90	40.11	35.55	41.89	
49	54.64	40.55	49.03	51.93	54.64	41.51	35.46	29.57	41.49	39.24	19.17	11.95	84.79	43.50	97.16	102.27	
50	118.24	46.46	57.86	66.55	74.50	46.96	92.92	88.93	44.64	41.55	14.91	6.32	4.25	42.54	34.03	40.97	
51	52.37	36.15	49.03	53.47	40.03	36.52	41.57	35.43	51.70	36.32	7.94	6.61	36.53	35.13	32.33	35.96	
