0	39.85	218.96	21.97	125.46	77.44	94.42	
1	55.64	218.96	118.22	67.02	84.42	73.78	
2	124.48	221.85	93.40	77.71	77.02	64.50	
3	15.69	222.63	70.40	86.29	70.21	55.80	
4	52.56	225.75	80.10	60.08	93.39	65.41	
5	35.81	225.51	139.31	139.20	32.04	146.73	
6	27.52	224.42	46.61	35.15	83.85	20.86	
7	98.98	225.61	123.76	121.91	95.26	53.05	
8	15.04	223.76	92.40	90.61	77.15	158.07	
9	105.03	219.87	93.63	84.12	102.83	89.62	
10	88.50	218.27	136.90	45.76	106.76	85.52	
11	80.56	214.39	94.08	20.59	35.85	22.85	
12	81.14	208.40	39.50	29.97	82.80	21.50	
13	102.84	211.20	121.82	95.14	64.44	44.53	
14	84.57	211.32	76.82	31.64	88.63	56.70	
15	90.98	213.81	136.28	67.05	88.70	25.74	
16	77.10	214.34	14.92	85.70	72.56	13.45	
17	85.65	221.46	74.74	42.57	76.21	90.00	
18	87.59	229.11	81.65	20.36	81.76	83.17	
19	132.52	233.48	98.70	48.84	117.79	109.38	
20	88.58	244.22	94.76	146.07	97.44	99.63	
21	94.07	255.44	26.10	97.56	139.36	115.94	
22	79.60	257.81	99.64	175.23	56.18	28.20	
23	56.87	258.77	85.67	58.69	56.61	81.29	
24	48.59	257.73	113.86	152.13	22.46	99.70	
25	31.80	261.50	147.27	159.55	152.78	31.63	
26	18.18	261.67	59.64	159.81	32.25	150.66	
27	46.51	254.64	91.00	32.10	102.65	61.80	
28	64.41	254.41	80.67	122.19	31.20	71.51	
29	104.65	254.24	68.09	8.06	99.72	27.97	
30	97.05	249.47	152.25	39.22	99.81	127.88	
31	53.13	243.48	148.55	71.70	95.14	83.55	
32	124.96	232.55	75.58	101.52	141.50	57.63	
33	59.96	229.10	76.69	44.20	84.93	122.32	
34	50.42	224.90	60.62	78.86	140.51	64.73	
35	80.26	215.11	96.81	36.09	66.46	57.76	
36	68.22	211.69	100.50	40.94	69.54	48.50	
37	70.62	206.86	98.05	54.41	79.50	66.19	
38	26.58	197.63	74.59	130.30	90.40	116.24	
39	93.93	195.49	124.30	25.50	46.18	64.47	
40	131.96	191.66	28.69	31.14	80.06	36.88	
41	88.41	192.35	126.20	99.37	86.98	27.89	
42	89.66	192.38	127.67	68.47	90.03	92.85	
43	67.90	192.18	117.38	41.21	82.82	29.11	
44	70.20	191.88	150.38	77.47	23.71	14.58	
45	95.34	196.24	146.33	59.08	146.05	33.60	
46	100.34	198.65	59.05	39.70	100.53	80.00	
